problem,N,POP_SIZE,threads,avg_ms_par,best_fitness_last_run,avg_ms_ser,speedup,efficiency
Rastrigin,500,50,4,342.1,3.63798e-12,644.4,1.883659748611517,0.47091493715287924
Rastrigin,500,50,8,366.3,3.63798e-12,644.4,1.759213759213759,0.2199017199017199
Rastrigin,500,50,16,425.5,3.63798e-12,644.4,1.5144535840188014,0.09465334900117509
Rastrigin,500,50,20,489.2,3.63798e-12,644.4,1.3172526573998364,0.06586263286999182
Rastrigin,500,100,1,1443.6,1.81899e-12,1269.9,0.8796758104738156,0.8796758104738156
Rastrigin,500,100,2,868.8,1.81899e-12,1269.9,1.4616712707182322,0.7308356353591161
Rastrigin,500,100,4,541.5,1.81899e-12,1269.9,2.3451523545706374,0.5862880886426594
Rastrigin,500,100,8,671.8,1.81899e-12,1269.9,1.890294730574576,0.236286841321822
Rastrigin,500,100,16,555.9,1.81899e-12,1269.9,2.284403669724771,0.14277522935779818
Rastrigin,500,100,20,596.3,1.81899e-12,1269.9,2.1296327352004027,0.10648163676002013
Rastrigin,500,200,1,2821.1,0.0,2673.7,0.9477508773173584,0.9477508773173584
Rastrigin,500,200,2,1581.6,0.0,2673.7,1.6905032878098127,0.8452516439049064
Rastrigin,500,200,4,987.7,0.0,2673.7,2.706996051432621,0.6767490128581553
Rastrigin,500,200,8,974.5,0.0,2673.7,2.743663417136993,0.34295792714212414
Rastrigin,500,200,16,862.8,0.0,2673.7,3.098864163189615,0.19367901019935094
Rastrigin,500,200,20,895.3,0.0,2673.7,2.986373282698537,0.14931866413492684
Rastrigin,500,500,1,7776.9,0.0,12424.7,1.5976417338528206,1.5976417338528206
Rastrigin,500,500,2,4681.7,0.0,12424.7,2.6538864087831344,1.3269432043915672
Rastrigin,500,500,4,18257.3,0.0,12424.7,0.6805332661455966,0.17013331653639915
Rastrigin,500,500,8,4772.3,0.0,12424.7,2.6035035517465372,0.32543794396831716
Rastrigin,500,500,16,3223.7,0.0,12424.7,3.854173775475386,0.24088586096721162
Rastrigin,500,500,20,3499.7,0.0,12424.7,3.5502185901648717,0.1775109295082436
Rastrigin,500,1000,1,16073.7,0.0,27813.7,1.730385661048794,1.730385661048794
Rastrigin,500,1000,2,9373.0,0.0,27813.7,2.967427717913155,1.4837138589565775
Rastrigin,500,1000,4,6265.8,0.0,27813.7,4.438970283124262,1.1097425707810655
Rastrigin,500,1000,8,7614.8,0.0,27813.7,3.6525844408257604,0.45657305510322005
Rastrigin,500,1000,16,7969.4,0.0,27813.7,3.49006198710066,0.21812887419379126
Rastrigin,500,1000,20,5483.4,0.0,27813.7,5.0723456249772045,0.25361728124886024
Rastrigin,1000,50,1,1435.7,1.70785e-08,2758.9,1.9216410113533469,1.9216410113533469
Rastrigin,1000,50,2,878.5,1.70785e-08,2758.9,3.140466704610131,1.5702333523050656
Rastrigin,1000,50,4,594.4,1.70785e-08,2758.9,4.6414872139973085,1.1603718034993271
Rastrigin,1000,50,8,602.7,1.70785e-08,2758.9,4.577567612410818,0.5721959515513523
Rastrigin,1000,50,16,583.2,1.70785e-08,2758.9,4.7306241426611795,0.2956640089163237
Rastrigin,1000,50,20,695.3,1.70785e-08,2758.9,3.9679275133036103,0.1983963756651805
Rastrigin,1000,100,1,2915.2,1.00412,5342.0,1.832464324917673,1.832464324917673
Rastrigin,1000,100,2,1652.6,1.00412,5342.0,3.2324821493404334,1.6162410746702167
